"f1","f2","label"
9.67, 25.41,"nope"
7.24, 27.22,"nope"
29.71, 18.42,"nope"
19.29, 22.18,"nope"
14.08, 22.01,"nope"
10.83, 22.01,"nope"
9.14, 22.46,"nope"
10.54, 20.52,"nope"
16.35, 19.58,"nope"
15.30, 21.57,"nope"
11.72, 20.21,"nope"
11.60, 21.80,"nope"
16.11, 14.87,"nope"
27.95, 16.68,"nope"
24.30, 12.22,"nope"
42.62, 11.68,"nope"
11.84, 21.31,"nope"
13.57, 19.69,"nope"
16.96, 16.44,"nope"
11.30, 20.25,"nope"
20.03, 16.37,"nope"
9.43, 23.51,"nope"
23.04, 19.46,"nope"
11.47, 18.88,"nope"
9.19, 20.32,"nope"
30.74, 17.32,"nope"
6.99, 29.00,"nope"
11.72, 26.44,"nope"
35.96, 18.93,"nope"
32.29, 17.32,"nope"
33.72, 15.84,"nope"
29.01, 10.50,"nope"
24.72, 17.53,"nope"
12.89, 20.67,"nope"
1338.19, 15.06,"blow"
1604.42, 20.53,"blow"
1719.50, 17.20,"blow"
2013.27, 20.54,"blow"
1790.43, 17.39,"blow"
2150.70, 20.31,"blow"
1992.74, 19.98,"blow"
2145.39, 19.68,"blow"
2082.66, 22.77,"blow"
1934.72, 21.55,"blow"
1858.35, 24.44,"blow"
1901.00, 19.72,"blow"
2137.72, 23.47,"blow"
2096.85, 20.56,"blow"
2200.55, 22.84,"blow"
2144.08, 23.84,"blow"
138.33, 29.14,"nope"
123.53, 34.09,"nope"
130.72, 33.82,"nope"
117.43, 33.51,"nope"
112.14, 34.14,"nope"
138.62, 31.66,"nope"
137.22, 33.50,"nope"
138.34, 31.53,"nope"
116.91, 34.05,"nope"
121.26, 34.54,"nope"
124.76, 32.79,"nope"
126.37, 33.48,"nope"
123.23, 28.81,"nope"
108.47, 34.83,"nope"
116.75, 34.56,"nope"
126.11, 32.24,"nope"
131.07, 32.92,"nope"
157.07, 27.19,"nope"
128.49, 31.59,"nope"
115.47, 33.74,"nope"
131.70, 31.09,"nope"
125.43, 31.20,"nope"
143.96, 30.67,"nope"
117.33, 36.39,"nope"
145.51, 29.80,"nope"
130.17, 30.26,"nope"
104.72, 34.86,"nope"
126.46, 33.66,"nope"
159.53, 31.19,"nope"
127.94, 28.21,"nope"
133.73, 31.27,"nope"
129.29, 30.95,"nope"
146.29, 30.08,"nope"
133.30, 33.52,"nope"
125.48, 36.35,"nope"
117.53, 32.70,"nope"
136.19, 32.40,"nope"
116.27, 36.07,"nope"
113.79, 34.06,"nope"
132.12, 34.16,"nope"
112.98, 34.25,"nope"
119.15, 36.65,"nope"
116.48, 33.67,"nope"
136.46, 34.40,"nope"
128.95, 30.78,"nope"
122.34, 34.78,"nope"
122.61, 33.62,"nope"
145.50, 34.37,"nope"
116.49, 33.63,"nope"
116.46, 36.46,"nope"
104.69, 33.63,"nope"
121.53, 32.84,"nope"
123.81, 33.69,"nope"
118.52, 35.57,"nope"
108.55, 37.66,"nope"
125.70, 34.41,"nope"
128.13, 34.40,"nope"
126.20, 33.04,"nope"
1048.54, 14.90,"blow"
1110.18, 16.09,"blow"
1232.84, 15.86,"blow"
1102.72, 17.68,"blow"
1105.08, 15.00,"blow"
1260.69, 16.41,"blow"
1283.39, 15.48,"blow"
1191.67, 16.64,"blow"
1033.85, 15.35,"blow"
999.84, 18.79,"blow"
1160.38, 14.95,"blow"
875.52, 18.75,"blow"
797.51, 20.46,"blow"
1231.96, 17.98,"blow"
1400.62, 17.51,"blow"
1489.05, 18.90,"blow"
1226.20, 17.22,"blow"
1597.30, 19.42,"blow"
1295.78, 22.67,"blow"
1304.37, 18.75,"blow"
1554.59, 20.36,"blow"
1562.15, 17.81,"blow"
1344.93, 22.82,"blow"
1442.40, 18.32,"blow"
1574.37, 18.59,"blow"
1414.82, 20.14,"blow"
1465.79, 20.83,"blow"
1682.09, 18.85,"blow"
1495.08, 19.54,"blow"
1256.00, 22.84,"blow"
469.65, 16.05,"nope"
214.37, 26.60,"nope"
178.88, 29.25,"nope"
167.65, 27.46,"nope"
181.18, 27.85,"nope"
169.90, 27.71,"nope"
163.64, 30.15,"nope"
172.61, 29.88,"nope"
175.28, 28.27,"nope"
153.18, 28.20,"nope"
148.23, 31.10,"nope"
189.74, 28.23,"nope"
187.77, 27.43,"nope"
142.14, 29.35,"nope"
165.43, 27.73,"nope"
213.99, 27.43,"nope"
166.68, 27.67,"nope"
151.72, 27.13,"nope"
177.27, 27.00,"nope"
186.83, 28.29,"nope"
148.91, 28.48,"nope"
168.87, 29.22,"nope"
192.33, 27.25,"nope"
153.50, 27.64,"nope"
158.88, 28.37,"nope"
153.76, 30.25,"nope"
176.91, 27.63,"nope"
180.32, 28.07,"nope"
146.68, 30.46,"nope"
184.78, 26.80,"nope"
204.88, 23.90,"nope"
174.99, 24.61,"nope"
173.19, 27.46,"nope"
205.99, 26.65,"nope"
167.35, 27.79,"nope"
115.02, 30.58,"nope"
163.56, 27.88,"nope"
197.61, 27.26,"nope"
151.57, 30.25,"nope"
161.80, 26.32,"nope"
168.83, 27.49,"nope"
145.99, 29.91,"nope"
150.15, 29.44,"nope"
175.55, 27.18,"nope"
164.33, 27.35,"nope"
134.53, 28.57,"nope"
199.18, 27.00,"nope"
193.49, 26.67,"nope"
168.32, 29.56,"nope"
162.17, 26.98,"nope"
141.43, 27.41,"nope"
184.44, 27.54,"nope"
187.37, 27.75,"nope"
171.02, 27.64,"nope"
185.19, 26.71,"nope"
143.37, 30.58,"nope"
163.07, 27.70,"nope"
184.83, 26.84,"nope"
182.33, 27.52,"nope"
157.30, 29.37,"nope"
164.99, 27.46,"nope"
177.76, 27.14,"nope"
123.89, 28.69,"nope"
165.16, 27.84,"nope"
177.65, 27.89,"nope"
125.67, 29.97,"nope"
175.08, 27.95,"nope"
181.94, 27.90,"nope"
130.54, 30.76,"nope"
186.69, 27.78,"nope"
168.24, 28.80,"nope"
168.78, 28.64,"nope"
181.52, 27.92,"nope"
144.95, 29.50,"nope"
162.32, 27.87,"nope"
132.18, 31.09,"nope"
161.48, 27.90,"nope"
158.13, 28.72,"nope"
150.15, 30.47,"nope"
190.09, 27.10,"nope"
167.12, 26.54,"nope"
179.84, 26.85,"nope"
173.39, 26.51,"nope"
130.78, 29.11,"nope"
180.71, 27.66,"nope"
159.33, 30.54,"nope"
177.01, 28.42,"nope"
166.14, 27.97,"nope"
158.53, 26.33,"nope"
172.56, 26.83,"nope"
208.61, 27.27,"nope"
170.71, 26.14,"nope"
180.03, 26.42,"nope"
128.61, 28.21,"nope"
174.12, 27.11,"nope"
194.54, 26.11,"nope"
155.89, 29.24,"nope"
195.77, 26.85,"nope"
187.63, 23.84,"nope"
155.14, 23.22,"nope"
192.79, 25.84,"nope"
208.06, 27.63,"nope"
184.36, 26.42,"nope"
156.12, 27.70,"nope"
180.39, 26.96,"nope"
200.77, 27.84,"nope"
160.88, 29.32,"nope"
169.22, 26.88,"nope"
181.83, 25.53,"nope"
168.59, 25.77,"nope"
148.13, 29.94,"nope"
171.52, 28.60,"nope"
1572.05, 18.36,"blow"
1681.63, 17.94,"blow"
1542.32, 21.26,"blow"
1577.71, 18.31,"blow"
1603.47, 21.26,"blow"
1962.14, 20.24,"blow"
1739.32, 19.90,"blow"
1752.97, 19.64,"blow"
1341.01, 19.92,"blow"
1783.01, 20.45,"blow"
1705.82, 23.57,"blow"
1501.75, 16.41,"blow"
1378.71, 17.99,"blow"
1768.61, 18.74,"blow"
1527.31, 20.46,"blow"
1732.33, 20.03,"blow"
1751.43, 25.87,"blow"
1730.16, 20.07,"blow"
1700.92, 21.47,"blow"
1965.44, 24.75,"blow"
1936.65, 21.06,"blow"
1792.17, 22.17,"blow"
2126.68, 23.17,"blow"
1952.59, 23.53,"blow"
2098.25, 24.63,"blow"
2118.48, 22.96,"blow"
1142.47, 17.76,"blow"
200.34, 27.13,"nope"
156.20, 29.48,"nope"
173.53, 29.09,"nope"
167.53, 28.25,"nope"
149.88, 30.46,"nope"
164.16, 28.13,"nope"
147.51, 29.63,"nope"
185.47, 28.34,"nope"
128.90, 31.24,"nope"
175.29, 29.08,"nope"
172.79, 28.50,"nope"
164.84, 30.13,"nope"
151.59, 28.64,"nope"
194.77, 28.36,"nope"
151.64, 29.52,"nope"
165.32, 29.56,"nope"
185.44, 27.91,"nope"
151.80, 29.16,"nope"
183.27, 28.36,"nope"
185.87, 27.77,"nope"
172.27, 28.33,"nope"
450.19, 14.09,"nope"
1181.56, 15.70,"blow"
1970.94, 17.62,"blow"
1806.99, 19.31,"blow"
2637.20, 25.23,"blow"
2460.49, 23.25,"blow"
2278.35, 21.48,"blow"
2309.45, 24.24,"blow"
2523.35, 22.88,"blow"
1994.88, 21.55,"blow"
2428.88, 21.92,"blow"
2363.62, 23.28,"blow"
2244.74, 24.99,"blow"
2539.82, 23.00,"blow"
2529.62, 21.61,"blow"
2449.91, 25.44,"blow"
2064.80, 20.44,"blow"
2560.72, 22.79,"blow"
2422.30, 24.14,"blow"
2626.76, 23.71,"blow"
2266.33, 21.00,"blow"
2373.22, 23.41,"blow"
2558.80, 23.45,"blow"
2544.66, 23.63,"blow"
2548.98, 24.55,"blow"
2367.46, 24.26,"blow"
2477.91, 23.74,"blow"
186.15, 26.33,"nope"
151.68, 29.59,"nope"
144.51, 30.57,"nope"
163.74, 29.65,"nope"
153.61, 28.58,"nope"
185.87, 27.74,"nope"
176.94, 26.56,"nope"
170.92, 29.12,"nope"
153.72, 30.76,"nope"
143.48, 31.14,"nope"
173.19, 29.60,"nope"
156.39, 28.82,"nope"
156.38, 29.02,"nope"
146.53, 29.65,"nope"
155.11, 27.83,"nope"
160.03, 28.63,"nope"
171.66, 27.97,"nope"
154.69, 27.49,"nope"
167.90, 28.84,"nope"
146.33, 28.60,"nope"
159.51, 30.30,"nope"
143.28, 29.83,"nope"
171.46, 29.63,"nope"
157.97, 29.05,"nope"
165.21, 29.20,"nope"
178.19, 29.57,"nope"
155.09, 29.14,"nope"
172.17, 29.80,"nope"
139.55, 30.34,"nope"
156.60, 30.99,"nope"
146.23, 31.19,"nope"
140.28, 31.54,"nope"
135.82, 32.27,"nope"
132.18, 31.11,"nope"
136.62, 31.01,"nope"
134.50, 29.96,"nope"
156.52, 29.54,"nope"
153.52, 29.86,"nope"
177.74, 29.49,"nope"
183.52, 25.74,"nope"
185.72, 27.55,"nope"
170.00, 27.63,"nope"
172.03, 27.96,"nope"
136.46, 29.17,"nope"
203.40, 23.93,"nope"
153.85, 26.92,"nope"
187.13, 27.12,"nope"
152.74, 28.78,"nope"
170.37, 26.12,"nope"
133.91, 31.05,"nope"
125.41, 30.10,"nope"
146.44, 29.31,"nope"
143.48, 28.44,"nope"
152.73, 29.95,"nope"
135.16, 28.04,"nope"
146.49, 28.79,"nope"
144.44, 29.40,"nope"
166.68, 29.43,"nope"
146.24, 30.12,"nope"
164.65, 30.23,"nope"
141.71, 29.95,"nope"
135.73, 29.85,"nope"
158.16, 29.48,"nope"
153.15, 29.70,"nope"
163.24, 29.43,"nope"
156.51, 29.33,"nope"
165.76, 30.28,"nope"
136.62, 31.81,"nope"
159.67, 30.13,"nope"
161.16, 29.18,"nope"
974.50, 14.93,"blow"
1025.27, 15.46,"blow"
1269.97, 17.17,"blow"
1327.69, 18.69,"blow"
1534.10, 20.02,"blow"
1981.24, 19.50,"blow"
1333.80, 19.07,"blow"
1625.38, 18.91,"blow"
2107.61, 19.79,"blow"
1768.84, 16.44,"blow"
1704.40, 19.81,"blow"
1981.85, 18.73,"blow"
2010.81, 19.93,"blow"
2056.53, 22.16,"blow"
456.53, 14.57,"nope"
128.14, 30.18,"nope"
143.84, 30.79,"nope"
155.26, 27.80,"nope"
119.85, 28.85,"nope"
149.83, 27.14,"nope"
141.34, 28.74,"nope"
105.38, 29.92,"nope"
122.68, 32.61,"nope"
146.63, 30.58,"nope"
145.53, 30.07,"nope"
138.35, 31.34,"nope"
153.67, 29.70,"nope"
113.28, 30.91,"nope"
141.97, 28.86,"nope"
111.89, 32.02,"nope"
130.32, 30.55,"nope"
118.39, 30.20,"nope"
137.65, 29.08,"nope"
134.65, 28.73,"nope"
153.60, 29.57,"nope"
147.46, 29.05,"nope"
117.95, 33.30,"nope"
132.92, 32.26,"nope"
118.59, 31.65,"nope"
1009.81, 13.10,"blow"
1785.07, 18.88,"blow"
1844.30, 19.08,"blow"
1900.76, 16.60,"blow"
2018.28, 21.24,"blow"
2157.71, 22.92,"blow"
2073.65, 21.95,"blow"
1957.35, 19.79,"blow"
2124.51, 21.70,"blow"
2205.48, 23.10,"blow"
1654.48, 18.75,"blow"
1966.62, 21.55,"blow"
1953.13, 19.65,"blow"
1909.91, 22.82,"blow"
1763.41, 21.68,"blow"
1861.18, 21.15,"blow"
1761.10, 19.56,"blow"
1928.93, 21.30,"blow"
1545.32, 18.05,"blow"
1829.43, 20.96,"blow"
1814.07, 20.40,"blow"
1635.63, 19.93,"blow"
1774.40, 23.51,"blow"
2212.24, 22.72,"blow"
2293.38, 23.74,"blow"
1827.36, 18.24,"blow"
2226.71, 24.53,"blow"
1891.70, 22.68,"blow"
1893.23, 23.07,"blow"
1981.65, 21.50,"blow"
2163.15, 21.52,"blow"
2060.29, 23.48,"blow"
1993.20, 22.44,"blow"
2168.41, 22.73,"blow"
50.01, 23.67,"nope"
38.24, 28.47,"nope"
37.83, 28.88,"nope"
41.10, 30.07,"nope"
42.77, 28.68,"nope"
42.67, 28.35,"nope"
36.37, 28.29,"nope"
38.91, 28.81,"nope"
40.92, 30.10,"nope"
40.61, 29.76,"nope"
38.49, 30.36,"nope"
34.78, 29.64,"nope"
56.70, 22.89,"nope"
57.09, 23.19,"nope"
41.96, 28.40,"nope"
38.85, 29.23,"nope"
36.16, 28.99,"nope"
41.47, 29.81,"nope"
42.66, 30.15,"nope"
45.99, 26.34,"nope"
46.66, 27.66,"nope"
39.20, 29.40,"nope"
33.48, 29.60,"nope"
54.36, 22.90,"nope"
59.71, 22.20,"nope"
43.14, 28.08,"nope"
45.71, 25.69,"nope"
43.42, 27.80,"nope"
41.89, 26.40,"nope"
41.15, 29.35,"nope"
50.56, 26.35,"nope"
45.17, 25.13,"nope"
37.47, 28.77,"nope"
35.53, 30.59,"nope"
35.53, 30.28,"nope"
33.98, 29.96,"nope"
39.02, 31.26,"nope"
40.64, 30.49,"nope"
69.88, 20.58,"nope"
981.14, 18.67,"blow"
1347.46, 21.71,"blow"
1975.81, 26.48,"blow"
2005.74, 25.16,"blow"
1901.29, 25.90,"blow"
2174.34, 25.36,"blow"
2270.96, 25.94,"blow"
2217.66, 26.61,"blow"
2152.29, 24.15,"blow"
2086.77, 25.91,"blow"
2165.61, 26.09,"blow"
2103.94, 25.49,"blow"
2119.71, 23.56,"blow"
2142.30, 26.72,"blow"
2184.75, 26.93,"blow"
2216.58, 25.06,"blow"
2030.73, 26.73,"blow"
2119.80, 26.94,"blow"
2095.59, 27.55,"blow"
48.73, 24.22,"nope"
35.64, 29.81,"nope"
38.79, 30.32,"nope"
39.08, 29.07,"nope"
43.17, 29.54,"nope"
39.01, 29.86,"nope"
42.63, 29.91,"nope"
39.17, 29.89,"nope"
40.10, 29.65,"nope"
39.79, 29.30,"nope"
35.03, 29.66,"nope"
37.68, 30.21,"nope"
35.50, 30.04,"nope"
37.56, 30.14,"nope"
37.73, 28.97,"nope"
37.25, 27.70,"nope"
1302.88, 20.32,"blow"
1726.36, 20.28,"blow"
1898.70, 24.81,"blow"
2122.04, 22.94,"blow"
2012.83, 26.70,"blow"
2164.33, 25.82,"blow"
2152.22, 24.41,"blow"
2248.46, 27.12,"blow"
2442.92, 27.83,"blow"
2222.19, 26.16,"blow"
2170.73, 23.12,"blow"
2391.73, 27.87,"blow"
2448.93, 29.09,"blow"
2210.28, 23.40,"blow"
2655.27, 26.82,"blow"
2413.16, 26.54,"blow"
2365.68, 25.08,"blow"
2374.15, 26.57,"blow"
2284.44, 24.34,"blow"
2289.92, 26.78,"blow"
2173.58, 23.53,"blow"
1939.81, 25.80,"blow"
508.35, 11.42,"nope"
39.74, 29.65,"nope"
39.37, 30.04,"nope"
39.74, 30.28,"nope"
40.82, 30.00,"nope"
40.13, 29.13,"nope"
38.50, 29.95,"nope"
38.54, 30.41,"nope"
62.71, 22.67,"nope"
47.24, 28.50,"nope"
56.78, 24.59,"nope"
50.36, 26.95,"nope"
39.60, 28.07,"nope"
41.66, 27.50,"nope"
38.91, 28.54,"nope"
60.46, 23.48,"nope"
64.70, 23.72,"nope"
47.60, 25.63,"nope"
51.13, 23.16,"nope"
45.30, 24.81,"nope"
38.37, 29.81,"nope"
39.79, 30.11,"nope"
46.32, 27.84,"nope"
44.98, 26.47,"nope"
39.36, 28.86,"nope"
869.53, 14.42,"blow"
1836.51, 17.48,"blow"
1328.01, 18.11,"blow"
1306.42, 14.18,"blow"
1715.39, 16.44,"blow"
1172.48, 19.06,"blow"
1677.92, 19.62,"blow"
1209.94, 14.45,"blow"
1352.95, 17.78,"blow"
1363.06, 17.55,"blow"
1754.59, 17.98,"blow"
1629.56, 19.13,"blow"
1181.00, 13.51,"blow"
1354.45, 15.59,"blow"
1929.60, 22.13,"blow"
1562.18, 15.17,"blow"
1532.64, 17.00,"blow"
1501.91, 18.98,"blow"
1482.13, 18.33,"blow"
1650.66, 19.82,"blow"
1454.93, 17.98,"blow"
1572.82, 18.20,"blow"
1444.63, 16.66,"blow"
1602.39, 18.27,"blow"
1492.36, 18.40,"blow"
1428.09, 16.75,"blow"
1540.36, 19.66,"blow"
1402.16, 18.41,"blow"
42.14, 29.73,"nope"
40.29, 29.36,"nope"
40.67, 28.87,"nope"
38.29, 28.62,"nope"
41.07, 26.54,"nope"
51.00, 23.02,"nope"
45.05, 26.74,"nope"
73.68, 21.17,"nope"
66.08, 20.82,"nope"
72.45, 19.86,"nope"
85.41, 17.21,"nope"
85.15, 16.57,"nope"
64.76, 20.73,"nope"
61.04, 20.33,"nope"
48.48, 25.14,"nope"
40.55, 26.97,"nope"
35.72, 29.89,"nope"
37.15, 29.57,"nope"
36.33, 28.24,"nope"
36.35, 30.31,"nope"
37.11, 28.72,"nope"
37.22, 27.62,"nope"
43.85, 29.70,"nope"
42.20, 26.50,"nope"
40.79, 29.83,"nope"
44.38, 29.45,"nope"
51.14, 26.88,"nope"
44.41, 28.30,"nope"
47.68, 27.78,"nope"
42.24, 29.16,"nope"
41.45, 28.92,"nope"
43.57, 29.16,"nope"
39.25, 29.92,"nope"
41.65, 29.72,"nope"
38.44, 29.93,"nope"
36.39, 29.73,"nope"
38.71, 29.97,"nope"
38.83, 29.91,"nope"
42.99, 30.03,"nope"
40.57, 29.54,"nope"
43.83, 29.58,"nope"
42.86, 29.40,"nope"
39.84, 29.64,"nope"
37.65, 29.82,"nope"
37.48, 29.67,"nope"
37.24, 29.50,"nope"
39.39, 29.74,"nope"
38.94, 29.23,"nope"
41.59, 29.51,"nope"
42.34, 28.72,"nope"
41.33, 30.04,"nope"
37.61, 29.60,"nope"
36.80, 29.43,"nope"
36.75, 30.13,"nope"
34.57, 29.87,"nope"
39.53, 29.42,"nope"
38.11, 29.35,"nope"
42.68, 30.67,"nope"
43.01, 29.22,"nope"
1120.85, 15.88,"blow"
1550.12, 17.20,"blow"
1900.41, 19.25,"blow"
1941.02, 19.88,"blow"
2064.21, 19.78,"blow"
1746.26, 17.18,"blow"
1635.75, 20.24,"blow"
2125.07, 21.13,"blow"
1884.73, 19.45,"blow"
1786.86, 18.06,"blow"
1783.66, 18.80,"blow"
1847.76, 19.45,"blow"
1460.04, 16.61,"blow"
1632.06, 17.11,"blow"
1660.55, 16.97,"blow"
1530.40, 19.84,"blow"
1830.64, 19.96,"blow"
1753.49, 19.26,"blow"
1532.06, 17.30,"blow"
1624.75, 17.67,"blow"
1788.99, 19.36,"blow"
168.69, 11.82,"nope"
38.65, 29.59,"nope"
37.72, 29.17,"nope"
42.47, 29.49,"nope"
40.35, 30.14,"nope"
34.50, 30.32,"nope"
43.02, 30.11,"nope"
47.04, 29.64,"nope"
42.11, 30.02,"nope"
45.75, 27.91,"nope"
38.77, 30.68,"nope"
38.07, 30.55,"nope"
39.12, 30.71,"nope"
44.47, 27.62,"nope"
39.07, 29.82,"nope"
41.19, 29.65,"nope"
44.76, 30.10,"nope"
43.09, 30.77,"nope"
46.19, 30.10,"nope"
38.11, 30.19,"nope"
37.54, 29.37,"nope"
41.02, 29.87,"nope"
41.74, 30.75,"nope"
45.71, 28.30,"nope"
44.79, 30.06,"nope"
37.69, 29.45,"nope"
38.65, 30.00,"nope"
37.89, 29.31,"nope"
38.01, 29.99,"nope"
42.76, 30.10,"nope"
42.87, 29.94,"nope"
44.56, 29.04,"nope"
42.20, 29.20,"nope"
39.98, 30.46,"nope"
39.82, 29.62,"nope"
40.02, 30.53,"nope"
39.24, 29.94,"nope"
43.41, 29.54,"nope"
43.21, 30.38,"nope"
40.25, 30.28,"nope"
42.69, 29.86,"nope"
37.19, 29.34,"nope"
36.43, 29.57,"nope"
42.93, 29.09,"nope"
43.56, 30.42,"nope"
41.70, 29.62,"nope"
41.86, 30.64,"nope"
39.01, 30.62,"nope"
40.36, 29.74,"nope"
43.71, 29.70,"nope"
42.50, 29.30,"nope"
39.54, 29.39,"nope"
37.60, 30.90,"nope"
37.56, 30.30,"nope"
42.62, 30.30,"nope"
44.38, 30.59,"nope"
42.74, 29.62,"nope"
39.93, 29.33,"nope"
37.55, 30.08,"nope"
40.75, 29.71,"nope"
42.44, 29.20,"nope"
41.18, 30.71,"nope"
40.13, 30.69,"nope"
37.38, 29.39,"nope"
35.73, 30.53,"nope"
39.81, 29.99,"nope"
41.39, 29.75,"nope"
43.11, 29.68,"nope"
42.59, 30.48,"nope"
39.77, 29.12,"nope"
33.62, 30.25,"nope"
39.82, 29.50,"nope"
42.14, 29.46,"nope"
39.01, 29.73,"nope"
37.59, 30.02,"nope"
36.33, 30.24,"nope"
42.12, 29.92,"nope"
43.49, 29.60,"nope"
44.35, 30.41,"nope"
36.98, 30.24,"nope"
38.30, 30.26,"nope"
36.39, 30.55,"nope"
35.58, 30.17,"nope"
37.81, 29.77,"nope"
38.64, 29.88,"nope"
38.49, 29.60,"nope"
41.87, 29.90,"nope"
46.96, 28.79,"nope"
43.74, 30.63,"nope"
41.89, 29.47,"nope"
43.25, 29.75,"nope"
38.76, 29.16,"nope"
34.82, 29.81,"nope"
36.64, 29.13,"nope"
39.81, 30.46,"nope"
37.35, 31.13,"nope"
38.65, 29.73,"nope"
41.19, 29.13,"nope"
40.12, 29.20,"nope"
41.22, 30.21,"nope"
43.15, 28.86,"nope"
42.20, 30.12,"nope"
41.94, 29.57,"nope"
37.68, 29.96,"nope"
38.16, 30.42,"nope"
40.41, 29.50,"nope"
41.97, 30.47,"nope"
42.12, 30.04,"nope"
43.68, 29.95,"nope"
41.79, 30.00,"nope"
43.62, 30.05,"nope"
37.68, 29.90,"nope"
39.85, 30.20,"nope"
37.04, 30.17,"nope"
37.74, 29.90,"nope"
35.35, 29.34,"nope"
36.16, 30.33,"nope"
38.01, 29.93,"nope"
36.39, 30.17,"nope"
34.11, 29.63,"nope"
39.15, 30.25,"nope"
36.13, 29.76,"nope"
37.41, 29.89,"nope"
35.34, 30.38,"nope"
40.08, 30.37,"nope"
40.49, 29.42,"nope"
42.50, 29.27,"nope"
43.79, 29.76,"nope"
46.98, 30.07,"nope"
40.03, 30.55,"nope"
42.81, 29.39,"nope"
36.19, 29.78,"nope"
37.65, 30.99,"nope"
37.10, 30.90,"nope"
38.56, 29.17,"nope"
39.06, 29.71,"nope"
42.94, 30.00,"nope"
44.84, 30.28,"nope"
38.19, 29.15,"nope"
37.80, 29.62,"nope"
37.93, 30.20,"nope"
37.41, 30.23,"nope"
36.17, 30.35,"nope"
36.93, 30.55,"nope"
39.45, 30.28,"nope"
37.99, 31.21,"nope"
39.15, 30.04,"nope"
38.06, 30.09,"nope"
39.99, 29.99,"nope"
55.02, 23.60,"nope"
47.88, 26.51,"nope"
51.26, 26.99,"nope"
79.02, 18.20,"nope"
65.13, 21.93,"nope"
60.47, 22.66,"nope"
50.25, 25.83,"nope"
49.47, 23.82,"nope"
58.57, 24.04,"nope"
45.23, 26.83,"nope"
46.09, 26.44,"nope"
44.43, 25.38,"nope"
44.27, 27.84,"nope"
58.01, 23.70,"nope"
49.44, 25.92,"nope"
64.67, 22.14,"nope"
56.96, 24.93,"nope"
53.74, 25.77,"nope"
69.45, 21.44,"nope"
